AASDHPPT	Q9NRN7	syn9735917
ATXN2	Q99700	syn9736318
ATXN3	P54252	syn9736319
ATXN3L	Q9H3M9	syn9736320
ATXN7	O15265	syn9736321
ATXN7L3	Q14CW9	syn9736322
AUH	Q13825	syn9736323
AUP1	Q9Y679	syn9736324
AURKA	O14965	syn9736325
AURKB	Q96GD4	syn9736326
AVIL	O75366	syn9736327
AVPR1A	P37288	syn9736328
AVPR2	P30518	syn9736329
AXIN1	O15169	syn9736330
AXL	P30530	syn9736331
AZGP1	P25311	syn9736332
AZI2	Q9H6S1	syn9736333
AZIN1	O14977	syn9736334
AZU1	P20160	syn9736335
B2M	P61769	syn9736336
B3GAT1	Q9P2W7	syn9736337
B3GAT2	Q9NPZ5	syn9736338
B3GAT3	O94766	syn9736339
B4GALT1	P15291	syn9736340
B4GALT7	Q9UBV7	syn9736341
BACE1	P56817	syn9736342
BACE2	Q9Y5Z0	syn9736343
BACH1	O14867	syn9736344
BACH2	Q9BYV9	syn9736345
BAD	Q92934	syn9736346
BAG1	Q99933	syn9736347
BAG4	O95429	syn9736348
BAG5	Q9UL15	syn9736349
BAG6	P46379	syn9736350
BAIAP2	Q9UQB8	syn9736352
BAIAP2L1	Q9UHR4	syn9736354
BAK1	Q16611	syn9736356
BANF1	O75531	syn9736362
BARD1	Q99728	syn9736364
BARX1	Q9HBU1	syn9736367
BAX	Q07812	syn9736369
BAZ1B	Q9UIG0	syn9736372
BAZ2A	Q9UIF9	syn9736376
BAZ2B	Q9UIF8	syn9736379
BBOX1	O75936	syn9736382
BBS9	Q3SYG4	syn9736386
BCAM	P50895	syn9736389
BCAP29	Q9UHQ4	syn9736390
BCAP31	P51572	syn9736393
BCAR1	P56945	syn9736396
BCAR3	O75815	syn9736399
BCAT1	P54687	syn9736406
BCAT2	O15382	syn9736409
BCHE	P06276	syn9736411
BCKDHA	P12694	syn9736416
BCKDHB	P21953	syn9736417
BCL10	O95999	syn9736418
BCL2	P10415	syn9736419
BCL2A1	Q16548	syn9736420
BCL2L1	Q07817	syn9736421
BCL2L10	Q9HD36	syn9736422
BCL2L11	O43521	syn9736425
BCL2L2	Q92843	syn9736427
BCL3	P20749	syn9736431
BCL6	P41182	syn9736432
BCL9	O00512	syn9736436
BCOR	Q6W2J9	syn9736438
BCORL1	Q5H9F3	syn9736441
BCR	P11274	syn9736445
BDH2	Q9BUT1	syn9736448
BDNF	P23560	syn9736450
BECN1	Q14457	syn9736451
BEX3	Q00994	syn9736456
BHMT	Q93088	syn9736459
BICC1	Q9H694	syn9736463
BID	P55957	syn9736466
BIN1	O00499	syn9736468
BIN2	Q9UBW5	syn9736469
BIRC2	Q13490	syn9736470
BIRC3	Q13489	syn9736472
BIRC5	O15392	syn9736475
BIRC6	Q9NR09	syn9736478
BIRC7	Q96CA5	syn9736481
BIRC8	Q96P09	syn9736483
BLM	P54132	syn9736484
BLMH	Q13867	syn9736485
BLVRA	P53004	syn9736487
BLVRB	P30043	syn9736490
BMI1	P35226	syn9736492
BMP1	P13497	syn9736494
BMP2	P12643	syn9736497
BMP2K	Q9NSY1	syn9736507
BMP3	P12645	syn9736516
BMP6	P22004	syn9736517
BMP7	P18075	syn9736519
BMPR1A	P36894	syn9736521
BMPR1B	O00238	syn9736522
BMPR2	Q13873	syn9736523
BMX	P51813	syn9736524
BNIP3	Q12983	syn9736527
BOC	Q9BWV1	syn9736532
BOLA1	Q9Y3E2	syn9736535
BOLA3	Q53S33	syn9736537
BPGM	P07738	syn9736540
BPHL	Q86WA6	syn9736543
BPI	P17213	syn9736547
BPIFA1	Q9NP55	syn9736549
BPNT1	O95861	syn9736551
BPTF	Q12830	syn9736552
BRAF	P15056	syn9736554
BRAT1	Q6PJG6	syn9736557
BRCA1	P38398	syn9736560
BRCA2	P51587	syn9736563
BRD1	O95696	syn9736567
BRD2	P25440	syn9736572
BRD3	Q15059	syn9736576
BRD4	O60885	syn9736578
BRD7	Q9NPI1	syn9736579
BRD9	Q9H8M2	syn9736582
BRDT	Q58F21	syn9736584
BRF2	Q9HAW0	syn9736585
BRIP1	Q9BX63	syn9736586
BRK1	Q8WUW1	syn9736591
BRMS1	Q9HCU9	syn9736595
BROX	Q5VW32	syn9736598
BRPF1	P55201	syn9736603
BRPF3	Q9ULD4	syn9736605
BRWD1	Q9NSI6	syn9736608
BSG	P35613	syn9736611
BST1	Q10588	syn9736615
BST2	Q10589	syn9736620
BTBD2	Q9BX70	syn9736626
BTBD6	Q96KE9	syn9736631
BTC	P35070	syn9736637
BTF3	P20290	syn9736642
BTG2	P78543	syn9736648
BTK	Q06187	syn9736660
BTLA	Q7Z6A9	syn9736669
BTN3A1	O00481	syn9736671
BTN3A2	P78410	syn9736675
BTN3A3	O00478	syn9736678
BTRC	Q9Y297	syn9736684
BUB1	O43683	syn9736693
BUB1B	O60566	syn9736699
BUD31	P41223	syn9736706
C11orf54	Q9H0W9	syn9736711
C11orf68	Q9H3H3	syn9736716
C1QA	P02745	syn9736719
C1QB	P02746	syn9736722
C1QBP	Q07021	syn9736726
C1QC	P02747	syn9736732
C1QTNF5	Q9BXJ0	syn9736735
C1R	P00736	syn9736742
C1S	P09871	syn9736745
C2	P06681	syn9736749
C2orf88	Q9BSF0	syn9736751
C3	P01024	syn9736755
C4A	P0C0L4	syn9736764
C4B	P0C0L5	syn9736768
C4BPA	P04003	syn9736773
C5	P01031	syn9736775
C6	P13671	syn9736779
C7	P10643	syn9736780
C8A	P07357	syn9736785
C8B	P07358	syn9736793
C8G	P07360	syn9736799
C9	P02748	syn9736802
C9orf142	Q9BUH6	syn9736806
CA1	P00915	syn9736809
CA12	O43570	syn9736814
CA13	Q8N1Q1	syn9736819
CA14	Q9ULX7	syn9736821
CA2	P00918	syn9736828
CA3	P07451	syn9736830
CA4	P22748	syn9736833
CA6	P23280	syn9736837
CA7	P43166	syn9736840
CA8	P35219	syn9736842
CA9	Q16790	syn9736848
CAB39	Q9Y376	syn9736851
CAB39L	Q9H9S4	syn9736853
CABIN1	Q9Y6J0	syn9736855
CABP1	Q9NZU7	syn9736856
CABP7	Q86V35	syn9736861
CACNA1A	O00555	syn9736871
CACNA1B	Q00975	syn9736881
CACNA1C	Q13936	syn9736887
CACNA1D	Q01668	syn9736897
CACNA1S	Q13698	syn9736907
CACNB4	O00305	syn9736908
CACYBP	Q9HB71	syn9736910
CAD	P27708	syn9736912
CADM1	Q9BY67	syn9736917
CALCOCO2	Q13137	syn9736922
CALCR	P30988	syn9736924
CALCRL	Q16602	syn9736931
CALM1	P62158	syn9736937
CALML3	P27482	syn9736944
CALML5	Q9NZT1	syn9736947
CALR	P27797	syn9736949
CAMK1	Q14012	syn9736955
CAMK1D	Q8IU85	syn9736956
CAMK1G	Q96NX5	syn9736958
CAMK2A	Q9UQM7	syn9736960
CAMK2B	Q13554	syn9736961
CAMK2D	Q13557	syn9736962
CAMK4	Q16566	syn9736968
CAMKK2	Q96RR4	syn9736972
CAMKMT	Q7Z624	syn9736977
CAMP	P49913	syn9736984
CAND1	Q86VP6	syn9736992
CANT1	Q8WVQ1	syn9736998
CAP1	Q01518	syn9737004
CAPG	P40121	syn9737009
CAPN1	P07384	syn9737013
CAPN2	P17655	syn9737014
CAPN3	P20807	syn9737017
CAPN7	Q9Y6W3	syn9737027
CAPN9	O14815	syn9737033
CAPNS1	P04632	syn9737040
CAPRIN1	Q14444	syn9737045
CAPRIN2	Q6IMN6	syn9737048
CAPS	Q13938	syn9737052
CAPZA1	P52907	syn9737054
CARD11	Q9BXL7	syn9737063
CARD18	P57730	syn9737070
CARD19	Q96LW7	syn9737075
CARHSP1	Q9Y2V2	syn9737081
CARM1	Q86X55	syn9737086
CARMIL1	Q5VZK9	syn9737090
CARTPT	Q16568	syn9737093
CASC3	O15234	syn9737096
CASK	O14936	syn9737097
CASKIN1	Q8WXD9	syn9737098
CASKIN2	Q8WXE0	syn9737099
CASP1	P29466	syn9737100
CASP2	P42575	syn9737101
CASP3	P42574	syn9737104
CASP6	P55212	syn9737105
CASP7	P55210	syn9737106
CASP8	Q14790	syn9737107
CASP8AP2	Q9UKL3	syn9737108
CASP9	P55211	syn9737109
CASQ1	P31415	syn9737110
CASQ2	O14958	syn9737111
CASR	P41180	syn9737112
CASS4	Q9NQ75	syn9737113
CAT	P04040	syn9737114
CBFB	Q13951	syn9737115
CBL	P22681	syn9737116
CBLB	Q13191	syn9737117
CBLC	Q9ULV8	syn9737118
CBLN1	P23435	syn9737120
CBR1	P16152	syn9737122
CBR3	O75828	syn9737123
CBR4	Q8N4T8	syn9737124
CBS	P35520	syn9737125
CBX1	P83916	syn9737126
CBX2	Q14781	syn9737127
CBX3	Q13185	syn9737128
CBX4	O00257	syn9737129
CBX5	P45973	syn9737130
CBX6	O95503	syn9737131
CBX7	O95931	syn9737133
CBX8	Q9HC52	syn9737134
CCDC8	Q9H0W5	syn9737136
CCKAR	P32238	syn9737137
CCKBR	P32239	syn9737139
CCL1	P22362	syn9737140
CCL11	P51671	syn9737142
CCL13	Q99616	syn9737143
CCL14	Q16627	syn9737144
CCL15	Q16663	syn9737145
CCL17	Q92583	syn9737146
CCL18	P55774	syn9737147
CCL19	Q99731	syn9737149
CCL2	P13500	syn9737150
CCL20	P78556	syn9737151
CCL21	O00585	syn9737152
CCL23	P55773	syn9737154
CCL24	O00175	syn9737155
CCL26	Q9Y258	syn9737156
CCL27	Q9Y4X3	syn9737157
CCL3	P10147	syn9737158
CCL4	P13236	syn9737159
CCL5	P13501	syn9737160
CCL7	P80098	syn9737161
CCL8	P80075	syn9737162
CCM2	Q9BSQ5	syn9737163
CCNA2	P20248	syn9737164
CCNB1	P14635	syn9737165
CCNC	P24863	syn9737166
CCND1	P24385	syn9737167
CCNDBP1	O95273	syn9737168
CCNE1	P24864	syn9737169
CCNH	P51946	syn9737170
CCNK	O75909	syn9737171
CCNT1	O60563	syn9737172
CCNT2	O60583	syn9737173
CCR1	P32246	syn9737174
CCR5	P51681	syn9737175
CCS	O14618	syn9737176
CD14	P08571	syn9737177
CD180	Q99467	syn9737178
CD1A	P06126	syn9737179
CD1B	P29016	syn9737180
CD1D	P15813	syn9737181
CD2	P06729	syn9737182
CD207	Q9UJ71	syn9737183
CD209	Q9NNX6	syn9737184
CD247	P20963	syn9737185
CD274	Q9NZQ7	syn9737186
CD28	P10747	syn9737187
CD2AP	Q9Y5K6	syn9737188
CD2BP2	O95400	syn9737189
CD300A	Q9UGN4	syn9737190
CD300LF	Q8TDQ1	syn9737191
CD320	Q9NPF0	syn9737192
CD36	P16671	syn9737193
CD38	P28907	syn9737194
CD3D	P04234	syn9737195
CD3E	P07766	syn9737196
CD4	P01730	syn9737197
CD40	P25942	syn9737198
CD40LG	P29965	syn9737199
CD44	P16070	syn9737200
CD46	P15529	syn9737201
CD47	Q08722	syn9737202
CD48	P09326	syn9737203
CD5	P06127	syn9737204
CD55	P08174	syn9737205
CD58	P19256	syn9737206
CD59	P13987	syn9737207
CD6	P30203	syn9737208
CD69	Q07108	syn9737209
